Average RMSE of model for positive_total: 743.6156892001752, epochs: 10, batch_size: 1, data from 2020-04-01\
Average RMSE of model for positive_total: 804.0132757420494, epochs: 10, batch_size: 1, all data\
Average RMSE of model for positive_total: 1034.8840109320147, epochs: 10, batch_size: 5, data from 2020-04-01\
Average RMSE of model for positive_total: 713.7475356390376, epochs: 10, batch_size: 5, all data\
Average RMSE of model for positive_total: 1633.2671049295816, epochs: 10, batch_size: 10, data from 2020-04-01\
Average RMSE of model for positive_total: 2430.6859740779305, epochs: 10, batch_size: 10, all data\
Average RMSE of model for positive_total: 349.02742757351973, epochs: 10, batch_size: 15, data from 2020-04-01\
Average RMSE of model for positive_total: 5143.792202212678, epochs: 10, batch_size: 15, all data\
Average RMSE of model for positive_total: 1559.311551151756, epochs: 10, batch_size: 30, data from 2020-04-01\
Average RMSE of model for positive_total: 33441.78023858759, epochs: 10, batch_size: 30, all data\
Average RMSE of model for positive_total: 1259.125072884929, epochs: 10, batch_size: 50, data from 2020-04-01\
Average RMSE of model for positive_total: 5299.680378655373, epochs: 10, batch_size: 50, all data\
Average RMSE of model for positive_total: 537.8565062268525, epochs: 50, batch_size: 1, data from 2020-04-01\
Average RMSE of model for positive_total: 353.1568310710883, epochs: 50, batch_size: 1, all data\
Average RMSE of model for positive_total: 353.5332772041706, epochs: 50, batch_size: 5, data from 2020-04-01\
Average RMSE of model for positive_total: 325.00149892793144, epochs: 50, batch_size: 5, all data\
Average RMSE of model for positive_total: 459.3094906028732, epochs: 50, batch_size: 10, data from 2020-04-01\
Average RMSE of model for positive_total: 969.1402299463094, epochs: 50, batch_size: 10, all data\
Average RMSE of model for positive_total: 950.0238789774352, epochs: 50, batch_size: 15, data from 2020-04-01\
Average RMSE of model for positive_total: 758.1764114797603, epochs: 50, batch_size: 15, all data\
Average RMSE of model for positive_total: 624.5675446741898, epochs: 50, batch_size: 30, data from 2020-04-01\
Average RMSE of model for positive_total: 3018.3383110567647, epochs: 50, batch_size: 30, all data\
Average RMSE of model for positive_total: 452.53800081373555, epochs: 50, batch_size: 50, data from 2020-04-01\
Average RMSE of model for positive_total: 2284.26859688118, epochs: 50, batch_size: 50, all data\
Average RMSE of model for positive_total: 608.5877915155141, epochs: 100, batch_size: 1, data from 2020-04-01\
Average RMSE of model for positive_total: 371.9651286331806, epochs: 100, batch_size: 1, all data\
Average RMSE of model for positive_total: 781.7142793323517, epochs: 100, batch_size: 5, data from 2020-04-01\
Average RMSE of model for positive_total: 33232.35683466611, epochs: 100, batch_size: 5, all data\
Average RMSE of model for positive_total: 520.7613457872063, epochs: 100, batch_size: 10, data from 2020-04-01\
Average RMSE of model for positive_total: 205.23481887605007, epochs: 100, batch_size: 10, all data\
Average RMSE of model for positive_total: 452.53885015380513, epochs: 100, batch_size: 15, data from 2020-04-01\
Average RMSE of model for positive_total: 343.13200512794845, epochs: 100, batch_size: 15, all data\
Average RMSE of model for positive_total: 598.3514626331757, epochs: 100, batch_size: 30, data from 2020-04-01\
